id,nombre,nombre_kanji,role,anime_id,imagen_url,fecha_extraccion
8760,Sakon,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/15/105422.jpg?s=b0a8ccc9170d441273e13aab667e7423,2025-04-06 20:52:34
8771,Kurosuki Raiga,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/2/55519.jpg?s=4fa1eb310b181be1ec87beda4678672b,2025-04-06 20:52:34
8810,Menma,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/5/57869.jpg?s=c9a65ff03d74f84b678c3393e76140da,2025-04-06 20:52:34
8997,Abumi Zaku,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/3/36355.jpg?s=326e8671faaacb5fe6ce13fb931915a3,2025-04-06 20:52:34
9244,Kinuta Dosu,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/14/36354.jpg?s=0332b5441c2938506646832a2075fc32,2025-04-06 20:52:34
9680,Tsuchi Kin,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/7/66504.jpg?s=80e3346c8143cf804b3522dba532c13b,2025-04-06 20:52:34
9699,Akado Yoroi,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/12/104668.jpg?s=13e483e534221000f378d246d704204e,2025-04-06 20:52:34
10013,Uchiha Sasuke,,MAIN,20,https://cdn.myanimelist.net/images/characters/9/131317.jpg?s=9705c17dba36c2edebded3a72dc1a46e,2025-03-30 15:23:40
10014,Uchiha Itachi,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/9/284122.jpg?s=11eac9672b208175831a0da62f188622,2025-03-30 15:23:40
10145,Haruno Sakura,,MAIN,20,https://cdn.myanimelist.net/images/characters/9/69275.jpg?s=36c4ad9f4440d77918c34c49870e719c,2025-03-30 21:11:15
10524,Seimei,,SUPPORTING,20,https://cdn.myanimelist.net/images/characters/16/58450.jpg?s=ecf8baf8354ed6d885917d29476e06e9,2025-04-06 20:52:34
